HabitoPago;Km_Score;Habito;Km_Grupo;Tercero;CargaNacional;VariosVehiculos;Antiguedad;Arpu;Km_Recorridos;NroRevisiones;Uso;Balance;AtencionAlarmas;TiempoActivo;Facturado;OdsUnidad;Grupo;Target
HE;km+;1;3;0;1;0;0,045454545;0,3439;0,148655929;0;0,077;-1;1;0,161;1;1;0,323741007;0
HB;km+;4;3;0;1;1;0,181818181;0,3439;0,148294836;0;0;0;1;0,645;0;1;0,87872559;1
H0;km+;0;3;0;0;0;0,045454545;0,3439;0,148208861;0;0,739;0;1;1;1;1;0;1
HD;km-;2;1;0;0;0;0,625;0,6217;0,147979595;0;0,957;0;1;0,806;0,647;1;0,406988694;1
HC;Estable;3;2;0;0;0;0,096590909;0,4685;0,147910816;0;0;-1;1;0,677;0;1;0,63926002;0
HE;km-;1;1;0;1;0;0,130681818;0,4685;0,147754151;0;0;-1;1;0;0;1;0,178828365;1
HE;km+;1;3;0;0;0;0,130681818;0,4685;0,147456105;0;0;-1;1;0,258;1;1;0,298047276;1
H0;Estable;0;2;0;1;0;0,142045454;0,4894;0,147177165;0;0,942;0;1;1;1;1;0;1
HD;km-;2;1;0;1;0;0,238636363;0,7635;0,147138954;0;0,168;-1;1;0,322;1;1;0,432682425;1
H0;km+;0;3;0;1;0;0,005681818;0,4086;0,147085459;0;0,077;-1;1;0,322;1;1;0,104830421;1
HC;km+;3;3;0;1;0;0,051136363;0,3439;0,147051069;0;0;-1;1;0,225;0;1;0,702980472;0
HA;Estable;5;2;0;0;0;0,488636363;0,3439;0,146936436;0;0;-1;1;0,645;0;1;0,943473792;0
HE;km+;1;3;0;0;0;0,073863636;0,4685;0,146913509;0;0,076;-1;1;0,225;0;1;0,297019527;0
HE;km--;1;1;0;1;0;0,09090909;0,3439;0,14684473;0;0,029;-1;1;0;0;1;0,178828365;0
H0;km-;0;1;0;1;0;0,011363636;0,3439;0,146825624;0;0,465;-1;1;0,322;1;1;0,043165467;0
H0;km+;0;3;0;1;0;0,09090909;0,4685;0,146458799;0;0;0;1;0,645;0;1;0,107913669;0
HE;km--;1;1;0;1;0;0,244318181;0,4685;0,146443515;0;0;-1;1;0,677;0;1;0,189105858;0
HE;km+;1;3;0;0;1;0,096590909;0,3439;0,146162664;0;0,439;-1;1;1;1;1;0;1
HE;km--;1;1;0;1;0;0,244318181;0,4685;0,146122543;0;0,464;-1;1;0,741;1;1;0,195272353;1
HB;km-;4;1;0;0;0;0,102272727;0,4685;0,1460423;0;0;-1;1;0;0;1;0,760534429;0
HA;km-;5;1;0;0;1;0,039772727;0,2331;0,14580157;0;0,076;-1;1;1;0;1;0;1
H0;Estable;0;2;0;1;0;0,056818181;0,3439;0,145526452;0;0;-1;1;0,87;1;1;0,068859198;1
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,145480598;0;0;-1;1;0,225;0;1;0,102774922;0
HE;km+;1;3;0;1;1;0,147727272;0,4685;0,145354502;0;0;-1;1;0,225;0;1;0,348406988;0
HE;km++;1;3;0;0;0;0,426136363;0,4685;0,145194016;0;0;-1;1;0;0;1;0,305241521;0
HE;km-;1;1;0;1;0;0,079545454;0,4685;0,144873044;0;0;0;1;0;0;1;0,178828365;0
HE;Estable;1;2;0;1;0;0,130681818;0,3439;0,144731664;0;0;-1;1;1;1;1;0;1
HC;km-;3;1;0;1;0;0,420454545;0,4685;0,1447202;0;0,312;0;1;1;1;1;0;1
H0;km--;0;1;0;0;0;0,176136363;0,5906;0,14457882;0;0,278;0;1;0,322;1;1;0;1
H0;km+;0;3;0;0;1;0,21590909;0,3855;0,144439986;0;0,277;0;1;0,677;0;1;0,101747173;1
HC;Estable;3;2;0;1;1;0,113636363;0,6139;0,144429797;0;0,556;0;1;0,161;1;1;0,675231243;1
HC;km+;3;3;0;1;0;0,125;0,4685;0,14433427;0;0;0;1;0,677;0;1;0,707091469;0
H0;Estable;0;2;0;1;0;0,005681818;0,4639;0,144211994;0;0,025;-1;1;1;1;1;0;1
HC;Estable;3;2;0;1;0;0,164772727;0,3439;0,144192889;0;0;-1;1;0,677;0;1;0,664953751;0
HD;Estable;2;2;0;1;0;0,079545454;0,4894;0,144147036;0;0;-1;1;0,322;1;1;0,477903391;1
HC;km+;3;3;0;0;1;0,1875;0,4662;0,144137483;0;0,076;-1;1;0,225;0;1;0,698869475;1
HD;Estable;2;2;0;1;0;0,193181818;0,4639;0,143925412;0;0;-1;1;0,354;1;1;0,480986639;1
HE;km+;1;3;0;0;1;0,102272727;0,4685;0,143862364;0;0;-1;1;0,225;1;1;0,312435765;1
HA;km+;5;3;0;0;0;0,017045454;0,3439;0,143573871;0;0;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;0;0,073863636;0,4685;0,14342867;0;0;-1;1;0;0;1;0,682425488;0
HD;km+;2;3;0;1;0;0,181818181;0,1319;0,1433255;0;0;-1;1;0,645;0;1;0,534429599;0
HB;km+;4;3;0;1;0;0,085227272;0,4685;0,143187941;0;0,131;-1;1;0,225;1;1;0,867420349;1
HD;km+;2;3;0;0;0;0,039772727;0,4685;0,14304656;0;0,145;-1;1;0,8;0;1;0,498458376;1
HA;km+;5;3;0;0;0;0,039772727;0,4685;0,143019812;0;0;-1;1;0;0;1;0,964028776;0
H0;Estable;0;2;0;0;0;0,494318181;0,3439;0,142973959;0;0,014;-1;1;0;0;1;0,064748201;0
H0;km-;0;1;0;1;0;0,011363636;0,4685;0,142962496;0;0,151;-1;1;1;1;1;0;1
HC;km-;3;1;0;1;0;0,085227272;0,4685;0,142828758;0;0,122;-1;1;0,322;1;1;0,616649537;1
HC;km--;3;1;0;0;0;0,460227272;0,468;0,142649166;0;0,153;-1;1;0,677;0;1;0,597122302;0
H0;km+;0;3;0;1;0;0,159090909;0,4685;0,142607134;0;0;-1;1;0,322;1;1;0,112024665;1
HB;km-;4;1;0;0;0;0,09090909;0,4685;0,14259185;0;0;-1;1;0;0;1;0,760534429;1
HE;km+;1;3;0;1;0;0,482954545;0,4685;0,142565102;0;0;-1;1;0;0;1;0,336073997;0
H0;km-;0;1;0;0;0;0,096590909;0,4685;0,142492501;0;0,092;0;1;0,677;0;1;0,021582733;0
HA;km+;5;3;0;1;0;0,034090909;0,3439;0,142431364;0;0,433;-1;1;0,354;1;1;0,983556012;1
HE;km+;1;3;0;1;0;0,130681818;0,3439;0,142351121;0;0,04;-1;1;0,225;0;1;0,327852004;0
HC;Estable;3;2;0;1;1;0,551136363;0,5813;0,142269604;0;0;0;1;0,677;0;1;0,677286742;0
HB;km-;4;1;0;1;0;0,079545454;0,4685;0,14165186;0;0,776;-1;1;0,322;1;1;0,784172661;1
H0;Estable;0;2;0;1;0;0,198863636;0,4685;0,141598365;0;0;-1;1;0,645;0;1;0,078108941;0
HE;km-;1;1;0;1;0;0,267045454;0,4685;0,141502837;0;0,108;-1;1;0,354;1;1;0,192189105;1
H0;km+;0;3;0;1;0;0,136363636;0,4685;0,141369099;0;0,544;-1;1;0,806;1;1;0,109969167;1
HC;km-;3;1;0;1;0;0,198863636;0,4685;0,141300319;0;0;0;1;0;0;1;0,620760534;0
HB;Estable;4;2;0;0;0;0,0625;0,3814;0,1410252;0;0,325;-1;1;1;1;1;0;1
H0;km-;0;1;0;1;0;0,125;0,4685;0,140971705;0;0;0;1;0,677;0;1;0,045220966;0
HE;km--;1;1;0;0;0;0,1875;0,5906;0,14081504;0;0,029;0;1;0,225;0;1;0,153134635;0
H0;Estable;0;2;0;1;0;0,011363636;0,3439;0,140516994;0;0,044;0;1;1;1;1;0;1
HE;km-;1;1;0;0;0;0,125;0,3439;0,140299192;0;0,476;-1;1;0,225;1;1;0,152106885;0
HC;km-;3;1;0;0;0;0,102272727;0,3439;0,140157811;0;0,13;0;1;0,322;1;1;0,588900308;1
H0;km+;0;3;0;1;1;0,005681818;0,4685;0,139953383;0;1;-1;0,75;1;1;1;0;1
H0;km+;0;3;0;1;0;0,056818181;0,3439;0,139867408;0;0,736;-1;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,289772727;0,5005;0,139844481;0;0,255;-1;1;0,645;0;1;0,71942446;1
HD;km++;2;3;0;1;0;0,346590909;0,4685;0,139829197;0;0,427;-1;1;0,258;1;1;0,542651593;1
HD;km+;2;3;0;0;0;0,301136363;0,3753;0,139756596;0;0;-1;1;0;0;1;0,511819116;0
HE;Estable;1;2;0;1;0;0,27840909;0,3052;0,139706922;0;0;0;1;0;0;1;0,265159301;0
HE;Estable;1;2;0;1;0;0,164772727;0,4685;0,13952733;0;0;-1;1;0,258;1;1;0,264131551;1
HC;km+;3;3;1;1;0;0,238636363;0,5973;0,139309528;0;0,162;-1;1;0;0;1;0,733812949;1
H0;km+;0;3;0;1;1;0,022727272;0,4685;0,138952255;0;0;-1;1;0;0;1;0,116135662;0
HC;km-;3;1;0;1;0;0,363636363;0,4685;0,138885386;0;0,5;-1;1;0,354;1;1;0,627954779;1
HC;km+;3;3;0;0;0;0,039772727;0,3439;0,138824249;0;0;-1;1;0;0;1;0,67934224;0
HC;km+;3;3;0;1;0;0,09090909;0,4685;0,138682868;0;0,418;-1;1;0,258;1;1;0,711202466;1
HB;Estable;4;2;0;1;0;0,022727272;0,3439;0,138659942;0;0;0;1;1;1;1;0;1
HA;km++;5;3;0;1;0;0,005681818;0,3439;0,138648478;0;0,374;-1;1;1;1;1;0;1
HA;km+;5;3;0;1;0;0,119318181;0,3439;0,138541488;0;0,252;-1;1;1;1;1;0;1
H0;km+;0;3;0;0;0;0,056818181;0,4685;0,138507098;0;0,501;-1;1;0,322;0,97;1;0;1
HA;Estable;5;2;0;1;0;0,073863636;0,4685;0,138113525;0;0;-1;1;0,677;0;1;0,950668036;0
HD;Estable;2;2;0;1;1;0,0625;0,4062;0,138090598;0;0,373;-1;1;0,354;1;1;0,489208633;1
HE;Estable;1;2;0;1;0;0,102272727;0,251;0,138082956;0;0;-1;1;0;0;1;0,257965056;0
HA;Estable;5;2;1;0;0;0,630681818;0,5118;0,137960681;0;0;0;1;1;0;1;0;1
HC;km+;3;3;0;0;0;0,079545454;0,4685;0,13795686;0;0,485;-1;1;0,322;1;1;0,686536485;1
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,137941575;0;0,051;-1;1;0;0;1;0,102774922;0
H0;Estable;0;2;0;1;0;0,011363636;0,4086;0,137891901;0;0,106;-1;1;1;0;1;0;1
HC;km-;3;1;0;1;0;0,113636363;0,4685;0,137800195;0;0,196;-1;1;0,322;1;1;0,616649537;1
HA;km+;5;3;0;1;0;0,051136363;0,3439;0,137681741;0;0,742;-1;1;0,225;0;1;0,984583761;0
HA;km++;5;3;0;1;0;0,017045454;0,3439;0,137651172;0;0,04;-1;1;0,258;1;1;0,982528263;0
HE;Estable;1;2;0;1;0;0,073863636;0,3439;0,137605319;0;0,739;-1;1;0,806;1;1;0,262076053;1
HE;km+;1;3;0;1;0;0,181818181;0,6139;0,137372232;0;0,091;-1;1;0;0;1;0,33299075;0
HC;km+;3;3;0;1;0;0,096590909;0,4685;0,137314916;0;0;-1;1;0;0;1;0,707091469;0
HA;km+;5;3;0;0;0;0,193181818;0,3439;0,137146787;0;0;-1;1;0,225;0;1;0,971223021;0
H0;km+;0;3;0;1;0;0,022727272;0,4685;0,137089471;0;0;-1;1;0,677;0;1;0,102774922;0
H0;km-;0;1;0;1;0;0,125;0,3439;0,136860205;0;0;-1;1;0,58;1;1;0,046248715;1
HC;km--;3;1;0;1;1;0,539772727;0,5032;0,136850016;0;0;-1;1;0,322;1;1;0,632065775;1
HE;km+;1;3;0;1;1;0,738636363;0,4685;0,136835368;0;0,025;-1;1;0,225;0;1;0,352517985;0
HD;km-;2;1;0;1;0;0,75;0,4685;0,136695898;0;0;-1;1;0,645;0;1;0,431654676;0
HA;km-;5;1;0;0;0;0,21590909;0,4685;0,136688256;0;0,572;-1;1;1;1;1;0;1
H0;km-;0;1;0;0;0;0,198863636;0,4685;0,136604192;0;0;-1;1;0,322;1;1;0,024665981;1
HC;km+;3;3;0;1;0;0,147727272;0,4685;0,136539233;0;0;-1;1;0;0;1;0,712230215;0
HA;km+;5;3;0;1;0;0,079545454;0,4685;0,136478096;0;0;-1;1;0,225;0;1;0,98561151;1
H0;km+;0;3;1;1;0;0,27840909;0,3126;0,136321431;0;0;0;1;0,677;0;1;0,11921891;0
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,136057775;0;0;-1;1;0;0;1;0,102774922;0
HD;km-;2;1;0;1;0;0,579545454;0,6762;0,135889647;0;0,565;-1;1;1;1;1;0;1
H0;Estable;0;2;0;0;0;0,034090909;0,3439;0,135847615;0;0;1;1;0,677;0;1;0,059609455;0
H0;Sin Clasificar;0;0;0;0;0;0,755681818;0,4685;0,135817046;0;0,12;-1;1;1;1;1;0;1
HC;Estable;3;2;0;0;0;0,159090909;0,4894;0,135767372;0;0;-1;1;0,645;0;1;0,642343268;0
H0;km-;0;1;0;1;0;0,02840909;0,3439;0,135614528;0;0;-1;1;0,677;0;1;0,038026721;0
HE;km++;1;3;0;1;0;0,267045454;0,3439;0,135534285;0;0;-1;1;1;1;1;0;1
H0;km-;0;1;0;1;0;0,272727272;0,3052;0,135400546;0;0;0;1;0,645;0;1;0,050359712;0
HA;Estable;5;2;0;0;0;0,068181818;0,4685;0,135140712;0;0;0;1;0,322;1;1;0,936279547;1
HC;Estable;3;2;0;1;0;0,426136363;0,4685;0,135102501;0;0,051;0;1;0,225;1;1;0,669064748;0
HD;km+;2;3;0;0;1;0,267045454;0,4662;0,135033721;0;0,051;-1;1;0,225;1;1;0,523124357;1
HC;km++;3;3;0;0;0;0,164772727;0,6129;0,134976405;0;0,055;-1;1;0;0;1;0,689619732;0
HE;Estable;1;2;0;1;0;0,1875;0,4685;0,134968763;0;0,025;-1;1;0,225;0;1;0,263103802;0
HD;Estable;2;2;0;0;0;0,147727272;0,4685;0,134964941;0;0,163;-1;1;0,87;0;1;0,458376156;1
HE;km++;1;3;0;1;0;0,176136363;0,3439;0,134781529;0;0,026;-1;1;1;1;1;0;1
HE;km-;1;1;0;1;0;0,198863636;0,4685;0,134162511;0;0;-1;1;0;0;1;0,184994861;0
H0;Estable;0;2;0;1;0;0,164772727;0,4685;0,134151048;0;0;-1;1;1;0;1;0;1
HA;km+;5;3;0;1;0;0,096590909;0,3439;0,134147227;0;0,066;-1;1;1;1;1;0;1
HE;km++;1;3;0;0;0;0,045454545;0,3439;0,134120479;0;0,263;0;1;1;1;1;0;1
H0;km++;0;3;0;1;0;0,051136363;0,4685;0,133558778;0;0,221;-1;1;1;1;1;0;1
H0;km-;0;1;0;0;0;0,085227272;0,4685;0,133470893;0;0,318;-1;1;1;1;1;0;1
H0;Estable;0;2;0;1;0;0,181818181;0,3439;0,13339065;0;0,077;-1;1;0,806;1;1;0,07913669;1
HC;km+;3;3;0;1;0;0,329545454;0,3753;0,133340976;0;0;-1;1;1;0;1;0;1
HE;km+;1;3;0;1;0;0,181818181;0,4685;0,133283659;0;0,076;-1;1;1;0;1;0;1
HC;km+;3;3;0;1;0;0,051136363;0,2724;0,133046751;0;0;0;1;0;0;1;0,702980472;0
HC;Estable;3;2;0;1;0;0,1875;0,4685;0,132997077;0;0;-1;1;0;0;1;0,664953751;1
HD;km-;2;1;0;1;0;0,204545454;0,4685;0,132511798;0;0,481;-1;1;0,354;1;1;0,430626927;1
HD;Estable;2;2;0;1;0;0,085227272;0,4685;0,13234749;0;0,014;0;1;0,645;0;1;0,475847893;0
HE;km-;1;1;0;1;1;0,488636363;0,5631;0,132316922;0;0,217;-1;1;1;1;1;0;1
HE;km++;1;3;0;1;0;0,051136363;0,4685;0,132251963;0;0;-1;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,039772727;0,3439;0,132187004;0;0;-1;1;0;0;1;0,702980472;0
HE;km+;1;3;0;0;1;0,09090909;0,4685;0,132074282;0;0,584;-1;1;0,161;1;1;0,314491264;0
HC;km-;3;1;0;1;0;0,09090909;0,4685;0,132037982;0;0;-1;1;0;0;1;0,615621788;0
HA;Estable;5;2;0;0;0;0,02840909;0,3439;0,131950096;0;0;-1;1;0,225;0;1;0,935251798;0
H0;Estable;0;2;0;1;0;0,051136363;0,3439;0,131896601;0;0;0;1;0,322;1;1;0,068859198;1
HA;km++;5;3;0;1;0;0,238636363;0,4639;0,131881317;0;0,764;-1;1;1;1;1;0;1
HD;km-;2;1;0;1;1;0,392045454;0,4606;0,131825274;0;0,053;-1;1;0,645;0;1;0,443987667;0
HD;km+;2;3;0;0;1;0,073863636;0,4588;0,131714462;0;0,446;-1;1;0,258;1;1;0,520041109;1
HE;km-;1;1;0;0;0;0,52840909;0,4685;0,131709367;0;0,068;-1;1;0,225;0;1;0,156217882;0
HA;km-;5;1;0;0;0;0,176136363;0,4685;0,131350184;0;0,33;-1;1;1;1;1;0;1
HE;Estable;1;2;0;0;0;0,051136363;0,3439;0,131162951;0;0,014;0;1;0,225;0;1;0,22610483;0
H0;km+;0;3;0;1;0;0,005681818;0,3439;0,131151487;0;0,369;0;1;1;1;1;0;1
H0;km-;0;1;0;1;0;0,056818181;0,3753;0,131101813;0;0;-1;1;0,677;0;1;0,038026721;0
H0;Estable;0;2;0;1;1;0,011363636;0,4685;0,130977627;0;0,401;-1;1;1;1;1;0;1
HE;km+;1;3;0;1;0;0,107954545;0,4685;0,130769378;0;0,522;-1;1;0,967;1;1;0,331963001;1
H0;Nuevo;0;0;0;1;0;0,039772727;0,3439;0,130731167;0;0,623;-1;1;1;0;1;0;1
HA;km+;5;3;0;0;1;0,698863636;0,4293;0,130675761;0;0,159;-1;1;1;1;1;0;1
HA;Estable;5;2;0;1;1;0,295454545;0,4685;0,130438853;0;0,142;-1;1;0,258;1;1;0,963001027;1
HE;Estable;1;2;0;1;0;0,414772727;0,3439;0,130303204;0;0;0;1;0,483;0;1;0,265159301;1
H0;Estable;0;2;0;1;0;0,022727272;0,6139;0,130165645;0;0;-1;1;0,677;0;1;0,067831449;0
HD;km+;2;3;0;0;0;0,079545454;0,4685;0,130142718;0;0;0;1;0,225;0;1;0,502569373;0
HD;km+;2;3;0;1;1;0,079545454;0,4894;0,130040822;2;0,57;-1;1;0,677;0;0,333;0,546762589;1
HE;km+;1;3;1;0;1;0,375;0,4685;0,12983703;0;0,014;-1;1;0,258;1;1;0,35868448;1
HB;km-;4;1;0;1;1;0,323863636;0,3439;0,129821746;0;1;-1;1;1;1;1;0;1
HA;km++;5;3;0;0;0;0,022727272;0,3439;0,129680365;0;0,025;-1;1;1;0;1;0;1
HC;km+;3;3;0;1;0;0,051136363;0,4685;0,129516058;0;0;1;1;0,225;0;1;0,702980472;0
HE;km+;1;3;0;1;1;0,431818181;0,4685;0,129445368;0;0;-1;1;0;0;1;0,352517985;0
HE;km+;1;3;0;1;0;0,107954545;0,4685;0,129393783;0;0,096;-1;1;0,225;0;1;0,327852004;0
HB;km-;4;1;0;0;0;0,073863636;0,3814;0,12934793;0;0,051;-1;1;0;0;1;0,760534429;0
HE;km--;1;1;0;1;0;0,27840909;0,3439;0,129195086;0;0;-1;1;0;0;1;0,189105858;0
H0;km++;0;3;0;1;0;0,022727272;0,3439;0,129126306;0;0;-1;1;0,58;1;1;0,104830421;0
H0;km+;0;3;0;1;0;0,034090909;0,2724;0,129007852;0;0,272;0;1;1;1;1;0;1
HE;km++;1;3;0;1;0;0,0625;0,4685;0,128820619;0;0;0;1;1;0;1;0;1
HE;km+;1;3;0;1;0;0,232954545;0,4685;0,128629564;0;0;-1;1;0,225;0;1;0,336073997;0
H0;Estable;0;2;0;1;1;0,022727272;0,4685;0,128574158;0;0,026;-1;1;0;0;1;0,082219938;1
HD;km+;2;3;0;0;1;0,1875;0,3439;0,128539131;0;0;-1;1;0,1;0;1;0,521068859;1
HC;km-;3;1;0;1;0;0,02840909;0,3439;0,128453793;0;0,228;-1;1;1;1;1;0;1
HE;km+;1;3;0;1;0;0,096590909;0,4685;0,128186317;0;0,08;0;1;0,258;1;1;0,328879753;0
HE;km-;1;1;0;1;0;0,096590909;0,4685;0,128151927;0;0;0;1;0;0;1;0,178828365;0
HE;Estable;1;2;1;1;0;0,431818181;0,4685;0,128079326;0;0;-1;1;0,29;0;1;0,288797533;1
HD;km+;2;3;0;0;0;0,142045454;0,4297;0,128067863;0;0;0;1;0,258;0,914;1;0,507708119;1
H0;km++;0;3;0;1;0;0,221590909;0,3439;0,127735427;0;0,637;-1;1;1;1;1;0;1
HD;Estable;2;2;0;1;1;0,414772727;0,4852;0,127680021;0;0;-1;1;0,258;0,985;1;0,49229188;1
H0;Estable;0;2;0;1;1;0,017045454;0,4685;0,127592136;0;0,051;-1;1;0,225;0;1;0,082219938;0
HD;km-;2;1;0;0;0;0,051136363;0,3439;0,127586405;0;0,167;0;1;1;1;1;0;1
H0;km++;0;3;0;0;0;0,02840909;0,4685;0,127322749;0;0;0;1;0,677;0;1;0,086330935;0
H0;Estable;0;2;0;1;0;0,159090909;0,3439;0,127062914;0;0;-1;1;0,677;0;1;0,078108941;0
H0;Estable;0;2;0;1;1;0,164772727;0,4685;0,126875681;0;0,361;-1;1;0,258;1;1;0,083247687;1
HA;km-;5;1;0;1;0;0,096590909;0,3439;0,126761048;0;0;0;1;0,225;0;1;0,921891058;0
H0;km+;0;3;0;1;0;0,011363636;0,6324;0,126696089;0;0;-1;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,096590909;0,251;0,126527961;0;0;-1;1;0,645;0;1;0,707091469;0
H0;km++;0;3;0;0;0;0,147727272;0,4685;0,126375117;0;0;0;1;0,677;0;1;0,09249743;0
HC;Estable;3;2;0;1;0;0,431818181;0,4685;0,12627959;0;0;0;1;0;0;1;0,668036998;0
HD;km+;2;3;0;1;0;0,170454545;0,4685;0,126203168;0;0,426;-1;1;0,225;1;1;0,537512846;1
H0;km--;0;1;0;1;0;0,017045454;0,3439;0,126153493;0;0,67;0;1;1;1;1;0;1
HC;km-;3;1;0;1;0;0,15340909;0,3439;0,12600065;0;0,157;-1;1;0,451;1;1;0,621788283;1
HB;km+;4;3;0;1;0;0,056818181;0,4685;0,125878375;0;0,188;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;0;0,130681818;0,4685;0,125870732;0;0,102;-1;1;0;0;1;0,682425488;0
HE;km+;1;3;0;1;0;0,204545454;0,4685;0,125767563;0;0;0;1;0;0;1;0,33299075;0
HA;km+;5;3;0;1;1;0,0625;0,4685;0,125043465;0;0;-1;1;0,225;0;1;0,995889003;0
HA;km+;5;3;0;1;1;0,034090909;0,3439;0,124946027;0;0,458;-1;1;0,225;1;1;0,997944501;1
H0;km++;0;3;0;1;0;0,022727272;0,4685;0,124827573;0;0;-1;1;0,225;0;1;0,102774922;0
HA;km+;5;3;1;0;0;0,625;0,5118;0,124804646;0;0;0;1;0,322;1;1;1;1
HE;Estable;1;2;0;1;1;0,397727272;0,4606;0,124665813;0;0,154;-1;1;0;0;1;0,280575539;0
HE;km-;1;1;0;1;1;0,1875;0,3439;0,124533349;0;0;0;1;0;0;1;0,203494347;0
H0;km++;0;3;0;0;0;0,068181818;0,4685;0,124453106;0;0,051;-1;1;0,322;1;1;0,087358684;0
HC;km+;3;3;0;1;0;0,119318181;0,4685;0,124353757;0;0;-1;1;0;0;1;0,707091469;0
HE;km+;1;3;0;1;1;0,073863636;0,4685;0,124348025;0;0;-1;1;0,225;0;1;0,347379239;0
H0;km+;0;3;0;1;0;0,039772727;0,4685;0,124220019;0;0;1;1;0,322;1;1;0,104830421;1
HD;km-;2;1;1;1;0;0,232954545;0,5973;0,124105386;0;0,566;-1;1;0,322;1;1;0,45220966;1
HE;Estable;1;2;0;1;0;0,46590909;0,4685;0,123753845;0;0,614;-1;1;1;1;1;0;1
HE;km-;1;1;0;1;1;0,909090909;0,4587;0,123709947;0;0,652;-1;1;0,903;0,988;1;0,21274409;1
HB;km-;4;1;0;1;1;0,045454545;0,3439;0,12366596;0;0,169;-1;1;0,193;0;1;0,791366906;1
HC;km+;3;3;0;1;0;0,045454545;0,3439;0,122729791;0;0,057;-1;1;0,225;0;1;0,702980472;0
HE;km--;1;1;0;0;0;0,068181818;0,4685;0,122683938;0;0,552;-1;1;1;1;1;0;1
HE;Estable;1;2;1;1;1;0,267045454;0,451;0,122424103;0;0,618;-1;1;0,903;1;1;0,291880781;1
HB;km++;4;3;0;0;1;0,107954545;0,4685;0,122389714;0;0,395;-1;1;0,354;1;1;0,861253854;1
HE;km-;1;1;0;0;0;0,136363636;0,4685;0,122385893;0;0,312;-1;1;1;0;1;0;1
HE;Estable;1;2;0;0;0;0,113636363;0,4685;0,122340039;0;0,065;-1;1;0,322;1;1;0,232271325;1
HC;km+;3;3;0;0;0;0,096590909;0,4685;0,122255975;0;0,758;0;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,107954545;0,4685;0,122179553;0;0;-1;1;1;1;1;0;1
HE;km++;1;3;0;0;0;0,107954545;0,4685;0,122145163;0;0,077;-1;1;1;1;1;0;1
HB;km++;4;3;0;1;0;0,0625;0,3439;0,121999962;0;0,077;1;1;0,225;0;1;0,862281603;0
HA;km+;5;3;0;1;1;0,454545454;0,4167;0,121904434;0;0,016;0;1;0,774;1;1;0;1
H0;km+;0;3;0;1;0;0,017045454;0,3439;0,121862402;0;0,051;-1;1;0,225;0;1;0,102774922;0
HA;km+;5;3;0;0;0;0,1875;0,3439;0,121346554;0;0;-1;1;1;1;1;0;1
HE;km-;1;1;0;0;0;0,102272727;0,4685;0,121338912;0;0,315;-1;1;0,87;0;1;0,150051387;1
HE;Estable;1;2;0;1;0;0,09090909;0,4685;0,1211555;0;0,198;0;1;0;0;1;0,257965056;0
HE;km+;1;3;0;1;1;0,732954545;0,4685;0,121153589;0;0;-1;1;1;0;1;0;1
H0;km+;0;3;0;0;0;0,125;0,4685;0,121144036;0;0;-1;1;0,645;0;1;0,089414182;0
H0;km--;0;1;0;1;0;0,022727272;0,3439;0,121144036;0;0,112;-1;1;1;1;1;0;1
HE;km-;1;1;0;0;0;0,147727272;0,3439;0,121109646;0;0,375;-1;1;0,258;1;1;0,155190133;1
H0;Estable;0;2;0;1;0;0,034090909;0,4685;0,121002656;0;0,051;-1;1;0,677;0;1;0,067831449;0
HC;km-;3;1;0;0;0;0,034090909;0,3439;0,120647294;0;0;-1;1;0;0;1;0,582733812;1
HE;Estable;1;2;0;1;0;0,210227272;0,4685;0,120628188;0;0;0;1;0;0;1;0,265159301;0
HC;km++;3;3;0;0;0;0,073863636;0,4685;0,119565923;0;0,025;-1;1;0;0;1;0,682425488;0
HE;km-;1;1;0;1;0;0,039772727;0,3439;0,11920674;0;0,336;-1;1;1;1;1;0;1
HE;km-;1;1;0;0;0;0,227272727;0,3439;0,119172351;0;0,025;-1;1;1;0;1;0;1
HC;Estable;3;2;0;1;0;0,107954545;0,4685;0,118920158;0;0;-1;1;0,645;0;1;0,660842754;1
HC;km-;3;1;0;1;0;0,15340909;0,3439;0,118904874;0;0;-1;1;1;1;1;0;1
HE;km++;1;3;1;0;0;0,306818181;0,4685;0,118836094;0;0,025;0;1;0,225;0;1;0,356628982;0
HE;Estable;1;2;0;1;0;0,02840909;0,3439;0,118744388;0;0;-1;1;0,225;0;1;0,251798561;0
H0;Estable;0;2;0;0;0;0,045454545;0,4685;0,118721461;0;0,519;-1;1;1;1;1;0;1
HE;km-;1;1;0;0;0;0,096590909;0,4685;0,118687071;0;0;-1;1;0,225;0;1;0,147995889;1
H0;km--;0;1;0;0;0;0,02840909;0,3439;0,118587723;0;0,031;-1;1;0;0;1;0,016443987;0
HC;km-;3;1;0;0;0;0,068181818;0,4685;0,118572438;0;0,051;-1;1;0,677;0;1;0,582733812;0
